timestamp,left_distance,right_distance
01:31:00,11.23,10.65
01:31:00,115.96,51.69
01:31:00,144.79,146.27
01:31:00,82.27,55.92
01:31:00,144.94,146.0
01:31:00,131.93,146.0
01:31:00,141.57,146.55
01:31:00,141.23,146.48
01:31:00,142.02,143.13
01:31:00,141.23,146.8
01:31:00,141.13,142.65
01:31:00,103.15,35.79
01:31:00,140.77,144.29
01:31:00,140.78,59.27
01:31:00,52.04,81.22
01:31:01,141.33,57.92
01:31:01,142.46,55.81
01:31:01,141.96,142.49
01:31:01,141.61,27.04
01:31:01,142.24,26.03
01:31:01,142.53,25.72
01:31:01,43.02,89.6
01:31:01,145.21,23.75
01:31:02,144.67,53.9
01:31:02,144.61,54.28
01:31:02,43.35,89.18
01:31:02,144.17,54.74
01:31:02,68.3,65.9
01:31:02,144.05,142.02
01:31:02,21.14,118.14
01:31:02,16.62,123.39
01:31:02,21.07,158.91
01:31:02,14.89,16.06
01:31:03,13.99,2414.9
01:31:03,13.13,11.73
01:31:03,13.12,10.93
01:31:03,10.64,10.05
01:31:03,10.5,9.3
01:31:03,10.65,2.6
01:31:03,10.43,3.93
01:31:03,9.56,8.67
01:31:03,9.05,7.75
01:31:03,8.94,8.11
01:31:03,8.79,3.03
01:31:03,9.15,4.05
01:31:03,9.1,7.85
01:31:03,8.19,7.39
01:31:04,7.99,2.65
01:31:04,7.75,3.39
01:31:04,7.52,2.31
01:31:04,7.88,1.85
01:31:04,7.32,2.26
01:31:04,7.27,2.72
01:31:04,6.91,1.32
01:31:04,6.6,2.57
01:31:04,6.5,3.44
01:31:04,6.45,7.39
01:31:04,6.17,6.41
01:31:04,5.87,6.67
01:31:04,5.73,1.74
01:31:04,5.16,2.57
01:31:04,5.32,5.95
01:31:04,4.75,1.85
01:31:04,5.06,1.83
01:31:04,4.81,1.62
01:31:05,4.65,2.46
01:31:05,4.65,2.41
01:31:05,4.36,2.29
01:31:05,4.51,5.23
01:31:05,4.0,2.57
01:31:05,4.45,5.13
01:31:05,4.65,1.62
01:31:05,4.67,1.21
01:31:05,4.7,1.23
01:31:05,4.7,1.23
01:31:05,4.75,1.62
01:31:05,4.86,1.74
01:31:05,4.86,1.68
01:31:05,4.86,1.32
01:31:05,5.06,1.74
01:31:06,5.11,1.33
01:31:06,4.75,2.21
01:31:06,5.73,1.9
01:31:06,6.04,5.9
01:31:06,6.4,2.21
01:31:06,5.93,2.65
01:31:06,9.06,3.39
01:31:06,7.68,1.59
01:31:06,10.76,5.01
01:31:06,9.4,7.28
01:31:06,11.0,7.32
01:31:07,11.82,7.7
01:31:07,12.82,14.72
01:31:07,13.0,8.5
01:31:07,12.28,8.57
01:31:07,11.1,9.37
01:31:07,12.24,8.6
01:31:07,11.83,9.03
01:31:07,11.58,6.41
01:31:07,11.94,6.41
01:31:07,11.94,6.86
01:31:07,11.58,7.18
01:31:07,11.22,5.52
01:31:07,11.27,7.18
01:31:07,11.32,8.81
01:31:08,11.76,8.05
01:31:08,13.36,13.44
01:31:08,13.82,13.85
01:31:08,13.46,13.44
01:31:08,11.08,9.78
01:31:08,13.51,13.34
01:31:08,13.41,6.87
01:31:08,13.3,6.87
01:31:08,13.12,6.0
01:31:08,12.14,7.28
01:31:08,12.24,7.18
01:31:08,12.35,7.23
01:31:08,12.4,7.23
01:31:09,10.4,9.22
01:31:09,11.9,7.23
01:31:09,11.59,8.11
01:31:09,11.3,8.04
01:31:09,12.16,7.7
