timestamp,left_distance,right_distance
01:35:14,20.23,9.17
01:35:14,19.53,8.38
01:35:14,18.69,7.49
01:35:14,18.71,8.33
01:35:14,19.12,8.26
01:35:14,19.55,8.26
01:35:15,19.13,8.57
01:35:15,19.13,8.21
01:35:15,19.55,8.14
01:35:15,19.13,8.14
01:35:15,18.69,7.73
01:35:15,19.12,8.69
01:35:15,18.71,7.73
01:35:15,19.53,7.42
01:35:15,18.69,9.1
01:35:15,19.53,8.21
01:35:15,19.1,7.42
01:35:15,18.67,8.33
01:35:16,18.67,7.83
01:35:16,18.66,8.26
01:35:16,18.66,9.52
01:35:16,18.67,9.64
01:35:16,18.64,9.59
01:35:16,19.53,8.33
01:35:16,35.67,11.22
01:35:16,22.49,7.9
01:35:16,19.49,10.84
01:35:16,64.06,10.79
01:35:17,20.71,12.0
01:35:17,20.21,11.22
01:35:17,21.03,10.79
01:35:17,20.35,9.52
01:35:17,21.51,8.38
01:35:17,20.64,8.26
01:35:17,20.66,7.9
01:35:17,20.2,7.9
01:35:17,20.21,8.26
01:35:17,20.62,11.58
01:35:17,20.23,8.21
01:35:17,20.23,7.78
01:35:17,20.23,8.69
01:35:17,20.23,8.21
01:35:17,19.77,9.11
01:35:17,21.36,11.27
01:35:17,558.47,9.11
01:35:18,801.29,8.26
01:35:18,66.64,8.74
01:35:18,62.24,9.59
01:35:18,63.39,7.42
01:35:18,62.84,7.11
01:35:18,390.07,8.09
01:35:18,57.76,7.25
01:35:18,17.78,7.71
01:35:18,61.06,7.13
01:35:19,18.79,8.33
01:35:19,17.94,8.33
01:35:19,17.94,8.33
01:35:19,17.49,8.38
01:35:19,17.49,7.49
01:35:19,18.31,7.9
01:35:19,17.9,7.42
01:35:19,17.92,8.21
01:35:19,17.9,8.19
01:35:19,18.76,7.42
01:35:19,18.35,8.67
01:35:19,18.78,8.26
01:35:19,17.94,8.26
01:35:20,17.92,8.26
01:35:20,17.92,8.26
01:35:20,17.92,8.26
01:35:20,17.94,6.93
01:35:20,17.92,8.26
01:35:20,19.2,7.78
01:35:20,18.37,6.94
01:35:20,18.37,9.52
01:35:20,18.37,6.94
01:35:20,18.78,7.35
01:35:20,19.19,8.99
01:35:20,17.92,8.99
01:35:20,18.35,8.99
01:35:20,18.35,8.99
01:35:20,18.35,8.98
01:35:20,18.35,7.37
01:35:21,17.92,7.35
01:35:21,17.92,7.35
01:35:21,17.92,7.35
01:35:21,17.94,7.83
01:35:21,17.92,8.21
01:35:21,18.78,7.35
01:35:21,18.37,9.1
01:35:21,18.78,7.35
01:35:21,19.19,7.78
01:35:21,19.6,7.3
01:35:21,18.33,7.78
01:35:22,18.76,7.71
01:35:22,59.64,8.57
01:35:22,59.64,8.98
01:35:22,59.64,7.71
01:35:22,59.64,8.87
01:35:22,18.37,8.86
01:35:22,18.37,8.14
01:35:22,18.37,8.57
01:35:22,18.37,8.55
01:35:22,18.37,7.73
01:35:22,18.38,8.14
01:35:22,18.37,8.57
01:35:22,18.38,8.14
01:35:22,18.37,8.57
01:35:23,18.38,8.5
01:35:23,60.55,8.57
01:35:23,64.74,7.3
01:35:23,18.79,8.21
01:35:23,18.76,6.99
01:35:23,60.04,7.9
01:35:23,18.69,8.99
01:35:23,61.17,8.98
01:35:23,36.0,10.55
01:35:23,245.93,9.88
01:35:23,16.16,8.21
01:35:23,10.23,8.19
01:35:23,9.27,8.69
01:35:23,7.66,15.78
01:35:23,8.74,13.8
01:35:23,10.53,13.32
01:35:24,10.02,13.75
01:35:24,9.83,16.88
01:35:24,8.09,11.63
01:35:24,7.78,14.11
01:35:24,6.05,18.19
01:35:24,9.17,18.55
01:35:24,9.63,12.89
01:35:24,8.86,12.47
01:35:24,9.68,15.36
01:35:24,10.91,15.37
01:35:24,10.53,60.02
01:35:24,11.01,11.22
01:35:24,14.23,13.32
01:35:24,14.23,13.73
01:35:24,12.28,9.95
01:35:24,11.46,12.91
01:35:25,10.64,16.93
01:35:25,8.17,12.82
01:35:25,10.24,10.79
01:35:25,10.21,10.36
01:35:25,11.06,8.26
01:35:25,11.11,10.79
01:35:25,10.35,12.41
01:35:25,10.35,12.41
01:35:25,10.29,11.2
01:35:25,10.94,9.11
