timestamp,left_distance,right_distance
01:49:34,12.43,31.67
01:49:34,13.29,29.94
01:49:34,13.29,29.96
01:49:34,13.29,30.37
01:49:34,13.29,30.37
01:49:34,13.29,30.35
01:49:34,13.29,29.48
01:49:34,13.29,29.94
01:49:34,13.29,29.5
01:49:35,10.79,32.46
01:49:35,13.29,29.5
01:49:35,13.29,29.94
01:49:35,13.29,29.92
01:49:35,13.29,29.89
01:49:35,13.29,30.81
01:49:35,13.29,29.92
01:49:35,13.29,29.91
01:49:35,13.29,30.83
01:49:35,13.29,30.81
01:49:35,13.29,29.96
01:49:35,13.7,29.48
01:49:35,13.29,3.85
01:49:35,13.29,3.01
01:49:35,13.7,2.7
01:49:35,13.29,2.67
01:49:35,12.88,2.57
01:49:35,13.34,2.55
01:49:35,13.39,2.55
01:49:36,13.39,2.45
01:49:36,13.39,2.36
01:49:36,13.39,2.14
01:49:36,13.39,2.03
01:49:36,13.39,2.05
01:49:36,14.26,2.05
01:49:36,13.44,2.05
01:49:36,13.44,2.45
01:49:36,13.44,1.98
01:49:36,13.44,1.98
01:49:36,13.44,1.98
01:49:36,13.44,2.0
01:49:36,13.44,2.0
01:49:36,13.44,2.0
01:49:36,13.44,1.98
01:49:36,13.44,1.98
01:49:36,13.44,2.0
01:49:36,13.44,2.0
01:49:36,13.44,2.0
01:49:36,13.44,1.98
01:49:36,13.44,2.0
01:49:36,13.44,2.0
01:49:36,13.0,1.98
01:49:37,13.44,1.98
01:49:37,13.46,1.95
01:49:37,14.72,1.98
01:49:37,13.44,2.1
01:49:37,14.31,2.57
01:49:37,14.72,6.34
01:49:37,14.71,29.39
01:49:37,14.31,28.92
01:49:37,3.83,26.23
01:49:37,1.93,26.42
01:49:37,1.73,36.01
01:49:37,2.09,36.0
01:49:37,2.91,36.39
01:49:37,2.96,37.24
01:49:37,3.01,36.41
01:49:37,3.01,36.41
01:49:37,3.83,36.82
01:49:37,3.37,35.98
01:49:38,3.37,36.82
01:49:38,3.37,36.83
01:49:38,3.37,36.42
01:49:38,3.37,36.41
01:49:38,2.91,36.0
01:49:38,3.78,36.41
01:49:38,3.73,36.83
01:49:38,3.71,36.0
01:49:38,3.71,36.41
01:49:38,3.73,36.41
01:49:38,3.32,36.83
01:49:38,2.91,36.41
01:49:38,2.03,36.39
01:49:38,2.45,36.41
01:49:38,1.98,36.41
01:49:38,3.01,36.41
01:49:38,3.52,36.85
01:49:38,3.16,2.57
01:49:38,8.02,3.32
01:49:38,14.31,3.47
01:49:38,13.44,4.05
01:49:38,13.03,2.65
01:49:39,13.95,2.57
01:49:39,13.54,2.96
01:49:39,13.13,2.92
01:49:39,13.13,2.87
01:49:39,13.13,2.82
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.82
01:49:39,13.13,2.8
01:49:39,13.15,2.8
01:49:39,13.13,2.8
01:49:39,13.13,2.87
01:49:39,13.54,15.24
01:49:39,13.13,30.1
01:49:39,14.83,28.42
01:49:39,8.79,35.38
01:49:39,3.83,25.8
01:49:40,2.5,36.32
01:49:40,2.8,37.59
01:49:40,3.83,36.34
01:49:40,2.34,36.34
01:49:40,2.75,37.18
01:49:40,3.63,37.18
01:49:40,3.63,37.6
01:49:40,3.63,37.18
01:49:40,3.63,37.6
01:49:40,3.16,38.01
01:49:40,3.63,37.16
01:49:40,3.57,36.3
01:49:40,3.11,36.3
01:49:40,3.11,37.18
01:49:40,3.63,37.18
01:49:40,4.14,36.76
01:49:40,3.78,24.98
01:49:40,13.13,30.11
01:49:40,13.13,30.11
01:49:40,13.13,30.11
01:49:40,13.13,30.11
01:49:41,13.54,29.69
01:49:41,13.54,29.7
01:49:41,13.13,30.11
01:49:41,13.54,29.72
01:49:41,13.54,29.7
01:49:41,13.13,30.11
01:49:41,13.54,30.15
01:49:41,13.13,30.57
01:49:41,13.54,29.7
01:49:41,14.81,28.44
01:49:41,13.13,30.06
01:49:41,13.54,29.67
01:49:41,13.54,30.16
01:49:41,14.0,29.69
