timestamp,left_distance,right_distance
00:56:38,22.21,25.07
00:56:40,22.85,38.85
00:56:42,22.57,39.06
00:56:44,23.68,41.48
00:56:45,22.9,39.93
00:56:47,24.15,39.06
00:56:49,147.28,146.41
00:56:51,146.7,145.76
00:56:53,104.77,139.3
00:56:54,13.47,117.84
00:56:56,1.21,131.77
00:56:58,2.36,139.55
00:57:00,4.0,128.25
00:57:02,141.35,140.01
00:57:04,142.12,140.03
00:57:06,143.28,140.32
00:57:08,143.55,140.41
00:57:10,143.95,140.13
00:57:11,144.49,61.08
00:57:13,143.55,140.13
00:57:15,34.88,99.15
00:57:17,144.29,140.08
00:57:18,142.05,140.2
00:57:20,143.69,61.2
