timestamp,left_distance,right_distance
01:07:54,146.38,148.63
01:07:56,147.11,144.27
01:07:57,145.98,147.42
01:07:59,145.97,146.09
01:08:01,145.98,146.14
01:08:03,182.47,150.09
01:08:05,21.37,25.79
01:08:06,21.79,25.79
01:08:08,21.67,27.04
01:08:10,146.34,145.08
01:08:12,133.48,146.87
01:08:13,146.92,145.13
01:08:15,146.99,145.09
01:08:17,142.58,147.62
01:08:19,146.51,145.52
01:08:21,81.84,56.84
01:08:22,146.03,3.39
01:08:24,146.39,146.5
01:08:26,146.43,147.45
01:08:27,5.42,133.29
01:08:29,146.41,145.49
01:08:31,146.5,145.91
01:08:33,144.51,8.62
01:08:34,12.18,124.83
01:08:36,147.13,146.74
01:08:38,146.74,145.95
01:08:40,147.01,145.44
01:08:42,146.1,4.92
01:08:43,146.55,147.09
01:08:45,146.58,147.11
01:08:47,147.03,146.7
01:08:49,146.05,145.64
01:08:50,147.5,145.91
01:08:52,147.06,146.32
01:08:54,146.65,147.66
01:08:56,146.68,144.63
01:08:57,147.13,144.63
01:08:59,111.82,28.51
01:09:01,147.86,146.34
01:09:03,66.9,71.82
01:09:05,147.35,145.47
01:09:06,147.38,147.09
01:09:08,147.37,146.67
01:09:10,147.37,146.17
01:09:12,147.37,147.09
01:09:13,147.37,145.76
01:09:15,146.94,146.29
01:09:17,147.37,146.72
01:09:18,147.38,144.63
01:09:20,147.35,145.47
01:09:22,147.37,145.45
01:09:23,147.37,145.54
01:09:25,147.38,145.11
01:09:27,61.77,77.0
01:09:29,147.4,144.24
01:09:31,42.96,96.24
01:09:32,146.96,145.52
01:09:34,147.38,144.67
01:09:36,147.42,144.63
01:09:37,147.42,143.79
