timestamp,left_distance,right_distance
00:57:36,3.68,136.06
00:57:38,4.36,135.67
00:57:40,147.54,146.48
00:57:42,148.15,45.37
00:57:43,147.81,147.95
00:57:45,148.75,148.87
00:57:47,79.48,221.87
00:57:49,148.17,147.52
00:57:51,147.23,146.22
00:57:53,146.82,147.04
00:57:54,147.27,146.65
00:57:56,146.79,146.62
00:57:58,147.23,146.6
00:58:00,147.21,146.21
00:58:01,6.98,131.19
00:58:03,3.16,135.0
00:58:05,146.8,145.71
00:58:06,146.8,2.62
00:58:08,147.21,146.62
00:58:10,6.96,132.51
00:58:12,146.75,146.21
00:58:14,146.8,2.62
00:58:15,107.94,31.91
00:58:17,146.56,147.11
00:58:19,147.91,147.16
00:58:21,147.98,146.84
00:58:22,148.17,147.76
00:58:24,148.15,146.84
00:58:26,148.22,147.33
00:58:28,148.24,146.92
00:58:29,148.27,147.33
