timestamp,left_distance,right_distance
01:24:45,148.19,146.67
01:24:45,147.74,146.22
01:24:45,148.19,147.08
01:24:45,91.45,48.09
01:24:45,68.72,70.37
01:24:45,148.14,147.09
01:24:45,55.35,83.72
01:24:45,147.74,147.06
01:24:45,63.06,75.98
01:24:45,147.74,146.65
01:24:45,47.69,91.33
01:24:46,94.87,45.06
01:24:46,147.37,146.6
01:24:46,147.76,146.58
01:24:46,147.76,146.17
01:24:46,41.23,97.88
01:24:46,147.74,147.08
01:24:46,147.76,146.6
01:24:46,147.76,146.15
01:24:47,49.81,88.85
01:24:47,147.74,146.62
01:24:47,129.05,147.9
01:24:47,69.27,69.8
01:24:47,77.72,61.75
01:24:47,67.0,72.09
01:24:47,147.78,146.62
01:24:47,147.76,147.49
01:24:47,43.72,94.99
01:24:48,147.78,147.08
01:24:48,147.78,146.63
01:24:48,44.48,94.2
01:24:48,58.17,81.36
01:24:48,55.54,83.6
01:24:48,77.04,62.06
01:24:48,148.19,147.42
01:24:48,148.19,147.5
01:24:49,58.81,80.23
01:24:49,147.78,146.63
01:24:49,148.21,146.6
01:24:49,147.78,147.08
01:24:49,129.16,147.9
01:24:49,99.9,40.51
01:24:49,147.76,147.5
01:24:49,41.64,97.83
01:24:49,147.74,148.34
01:24:49,147.76,147.04
01:24:49,49.56,89.52
01:24:49,147.76,147.06
01:24:49,49.78,89.26
01:24:50,147.78,147.04
01:24:50,147.74,146.99
01:24:50,147.76,147.47
01:24:50,147.76,147.9
01:24:50,147.74,146.56
01:24:50,45.52,92.68
01:24:50,147.74,147.06
01:24:50,119.67,23.27
01:24:50,148.14,146.65
01:24:50,147.73,147.49
01:24:51,55.06,83.96
01:24:51,147.73,147.06
01:24:51,41.57,97.44
01:24:51,44.92,94.55
01:24:51,57.35,81.31
01:24:51,148.14,147.91
01:24:51,147.73,147.5
01:24:51,147.71,146.56
01:24:51,147.76,147.01
01:24:51,147.73,146.62
01:24:51,147.71,146.62
01:24:51,147.73,147.08
01:24:51,77.17,62.26
01:24:51,57.05,82.39
01:24:51,147.73,146.65
01:24:52,148.12,146.7
01:24:52,58.67,80.85
01:24:52,64.96,74.06
