timestamp,left_distance,right_distance
01:54:34,9.2,21.14
01:54:34,37.93,80.87
01:54:34,37.53,81.72
01:54:34,37.52,82.1
01:54:34,37.52,82.51
01:54:34,52.36,67.68
01:54:34,52.43,65.89
01:54:35,18.78,75.1
01:54:35,52.41,65.46
01:54:35,28.4,85.72
01:54:35,52.02,68.01
01:54:35,37.52,2390.49
01:54:35,52.02,2359.66
01:54:35,52.43,2386.49
01:54:35,52.39,2393.2
01:54:36,52.39,2392.12
01:54:36,52.84,2389.86
01:54:36,52.84,2352.65
01:54:36,37.52,2373.0
01:54:36,52.43,2387.93
01:54:36,52.43,2354.6
01:54:37,51.97,2352.26
01:54:37,51.95,2353.76
01:54:37,51.97,2354.19
01:54:37,51.97,2360.06
01:54:37,30.54,88.6
01:54:37,37.52,82.97
01:54:37,37.53,2375.55
01:54:38,37.94,2379.6
01:54:38,37.53,2376.99
01:54:38,37.53,2376.06
01:54:38,27.96,2382.87
01:54:38,37.12,2391.74
01:54:38,37.53,2357.41
01:54:39,37.12,2353.32
01:54:39,37.52,2350.79
01:54:39,52.41,2348.26
01:54:39,37.93,2374.8
01:54:39,37.53,2351.76
01:54:40,37.52,2385.54
01:54:40,37.11,2358.79
01:54:40,52.0,2352.28
01:54:40,37.52,2351.66
01:54:40,51.59,2368.38
01:54:40,52.0,2368.11
01:54:41,52.43,2352.07
01:54:41,52.02,2353.3
01:54:41,52.0,2379.94
01:54:41,52.0,2361.29
01:54:41,52.0,2385.33
01:54:41,52.0,2369.8
01:54:42,51.59,2384.66
01:54:42,52.43,2355.76
01:54:42,52.0,2352.05
01:54:42,52.02,2347.59
01:54:42,52.0,2354.5
01:54:43,52.0,2385.18
01:54:43,37.94,2352.4
01:54:43,52.0,2352.1
01:54:43,52.0,2352.28
