timestamp,left_distance,right_distance
01:03:18,17.78,2433.74
01:03:19,17.24,2399.97
01:03:21,180.1,181.52
01:03:23,146.07,145.79
01:03:25,146.02,145.78
01:03:27,146.05,145.79
01:03:29,27.45,110.72
01:03:31,1.8,136.32
01:03:33,146.53,145.85
01:03:35,146.15,145.85
01:03:36,102.07,4.82
01:03:38,146.51,4.36
01:03:40,146.12,145.74
01:03:42,146.12,145.83
01:03:43,146.09,3.9
01:03:45,146.48,6.05
01:03:47,61.05,77.51
01:03:49,117.75,23.36
01:03:51,3.27,134.77
01:03:53,3.32,135.26
01:03:55,2.75,135.77
01:03:56,182.59,166.23
01:03:58,68.06,68.13
01:04:00,3.47,28.56
01:04:02,3.93,53.01
01:04:03,3.47,53.39
01:04:05,2.86,135.83
01:04:07,146.21,145.25
01:04:09,5.83,133.23
01:04:11,60.59,77.99
01:04:13,146.27,145.32
01:04:14,146.22,3.23
01:04:16,146.65,145.3
01:04:18,146.29,148.39
