timestamp,left_distance,right_distance
01:06:43,145.95,145.52
01:06:45,146.09,147.11
01:06:47,124.95,146.96
01:06:49,3.49,134.9
01:06:51,4.39,133.02
01:06:53,5.42,131.99
01:06:55,146.41,144.27
01:06:56,146.07,147.04
01:06:58,5.4,138.61
01:07:01,5.68,132.97
01:07:04,146.0,144.61
01:07:05,146.39,143.85
01:07:07,146.19,145.09
01:07:09,146.17,145.56
01:07:11,146.65,145.08
01:07:12,146.21,145.49
01:07:15,146.14,144.97
01:07:16,146.17,144.24
01:07:18,146.15,145.06
01:07:20,146.17,145.06
01:07:21,146.62,144.58
01:07:24,55.46,83.0
01:07:25,5.16,44.24
01:07:27,146.65,145.88
01:07:29,5.47,133.86
